security_id,nse_symbol,isin,company_name,issuer_id,exchange_id,listing_date,active_flag,_source_file,_extracted_date,_quality_issues,_confidence_score,_manual_review_required
255,BAJAJHIND,INE306A01021,BAJAJ HINDUSTHAN SUGAR LIMITED,255,1,1995-05-10,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
256,BAJAJHLDNG,INE118A01012,BAJAJ HOLDINGS AND INVESTMENT LIMITED,256,1,1995-03-15,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
257,BAJAJINDEF,INE0O9T01021,INDEF MANUFACTURING LIMITED,257,1,2025-02-21,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
258,BAJAJST,INE704G01024,BAJAJ STEEL INDUSTRIES LIMITED,258,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
259,BAJEL,INE0KQN01018,BAJEL PROJECTS LIMITED,259,1,2023-12-19,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
260,BAJFINANCE,INE296A01032,BAJAJ FINANCE LIMITED,260,1,2003-04-01,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
261,BALAJEE,INE0S2G01011,SHREE TIRUPATI BALAJEE AGRO TRADING COMPANY LIMITED,261,1,2024-09-12,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
262,BALAJITELE,INE794B01026,BALAJI TELEFILMS LIMITED,262,1,2000-11-22,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
263,BALAMINES,INE050E01027,BALAJI AMINES LIMITED,263,1,2007-04-05,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
264,BALAXI,INE618N01022,BALAXI PHARMACEUTICALS LIMITED,264,1,2015-11-30,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
265,BALKRISHNA,INE875R01011,BALKRISHNA PAPER MILLS LIMITED,265,1,2015-07-28,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
266,BALKRISIND,INE787D01026,BALKRISHNA INDUSTRIES LIMITED,266,1,2006-01-27,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
267,BALMLAWRIE,INE164A01016,BALMER LAWRIE AND COMPANY LIMITED,267,1,1995-07-06,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
268,BALPHARMA,INE083D01012,BAL PHARMA LIMITED,268,1,2006-05-08,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
269,BALRAMCHIN,INE119A01028,BALRAMPUR CHINI MILLS LIMITED,269,1,1995-02-08,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
270,BALUFORGE,INE011E01029,BALU FORGE INDUSTRIES LIMITED,270,1,2024-04-29,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
271,BANARBEADS,INE655B01011,BANARAS BEADS LIMITED,271,1,1995-07-07,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
272,BANARISUG,INE459A01010,BANNARI AMMAN SUGARS LIMITED,272,1,2003-05-28,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
273,BANCOINDIA,INE213C01025,BANCO PRODUCTS (I) LIMITED,273,1,2006-12-22,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
274,BANDHANBNK,INE545U01014,BANDHAN BANK LIMITED,274,1,2018-03-27,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
275,BANG,INE863I01016,BANG OVERSEAS LIMITED,275,1,2008-02-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
