issuer_id,issuer_name,sector,market_cap_category,country
457,CHEMBOND MATERIAL TECHNOLOGIES LIMITED,,,India
458,CHEMBOND CHEMICALS LIMITED,,,India
459,CHEMCON SPECIALITY CHEMICALS LIMITED,,,India
460,CHEMCRUX ENTERPRISES LIMITED,,,India
461,CHEMFAB ALKALIS LIMITED,,,India
462,CHEMPLAST SANMAR LIMITED,,,India
463,CHENNAI PETROLEUM CORPORATION LIMITED,,,India
464,CHEVIOT COMPANY LIMITED,,,India
465,CHOICE INTERNATIONAL LIMITED,,,India
466,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,,,India
467,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,,,India
468,CIE AUTOMOTIVE INDIA LIMITED,,,India
469,CAPITAL INDIA FINANCE LIMITED,,,India
470,CINELINE INDIA LIMITED,,,India
471,CINEVISTA LIMITED,,,India
472,CIPLA LIMITED,,,India
473,CLEAN SCIENCE AND TECHNOLOGY LIMITED,,,India
474,CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED,,,India
475,CL EDUCATE LIMITED,,,India
476,CHAMAN LAL SETIA EXPORTS LIMITED,,,India
477,CALIBER MINING AND LOGISTICS LIMITED,,,India
478,CENTRAL MINE PLANNING AND DESIGN INSTITUTE LIMITED,,,India
479,CMR GREEN TECHNOLOGIES LIMITED,,,India
480,CMS INFO SYSTEMS LIMITED,,,India
481,CREATIVE NEWTECH LIMITED,,,India
482,COAL INDIA LIMITED,,,India
483,COASTAL CORPORATION LIMITED,,,India
484,COCHIN SHIPYARD LIMITED,,,India
485,JOHN COCKERILL INDIA LIMITED,,,India
486,COFFEE DAY ENTERPRISES LIMITED,,,India
487,COFORGE LIMITED,,,India
488,COHANCE LIFESCIENCES LIMITED,,,India
489,COLGATE PALMOLIVE (INDIA) LIMITED,,,India
490,COMFORT INTECH LIMITED,,,India
491,COMPETENT AUTOMOBILES COMPANY LIMITED,,,India
492,COMPUAGE INFOCOM LIMITED,,,India
493,COMPUCOM SOFTWARE LIMITED,,,India
494,COMMERCIAL SYN BAGS LIMITED,,,India
495,CONTAINER CORPORATION OF INDIA LIMITED,,,India
496,CONCORD BIOTECH LIMITED,,,India
497,CONFIDENCE PETROLEUM INDIA LIMITED,,,India
498,CONSOLIDATED FINVEST AND HOLDINGS LIMITED,,,India
499,CONTROL PRINT LIMITED,,,India
500,CORAL INDIA FINANCE AND HOUSING LIMITED,,,India
501,WATERWAYS LEISURE TOURISM LIMITED,,,India
502,CORDS CABLE INDUSTRIES LIMITED,,,India
503,COROMANDEL INTERNATIONAL LIMITED,,,India
504,CORONA REMEDIES LIMITED,,,India
505,COSMO FIRST LIMITED,,,India
506,COUNTRY CONDO'S LIMITED,,,India
507,CP CAPITAL LIMITED,,,India
508,CAREER POINT EDUTECH LIMITED,,,India
509,CAPTAIN POLYPLAST LIMITED,,,India
510,ADITYA INFOTECH LIMITED,,,India
511,CRAFTSMAN AUTOMATION LIMITED,,,India
512,CANARA ROBECO ASSET MANAGEMENT COMPANY LIMITED,,,India
513,CRAVATEX LIMITED,,,India
514,CREATIVE EYE LIMITED,,,India
515,CREDITACCESS GRAMEEN LIMITED,,,India
516,CREST VENTURES LIMITED,,,India
517,CRISIL LIMITED,,,India
518,CRIZAC LIMITED,,,India
519,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,,,India
520,CROWN LIFTERS LIMITED,,,India
521,CRESSANDA RAILWAY SOLUTIONS LIMITED,,,India
522,CSB BANK LIMITED,,,India
523,CSL FINANCE LIMITED,,,India
524,CSM TECHNOLOGIES LIMITED,,,India
525,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,,,India
526,CITY UNION BANK LIMITED,,,India
527,CUBEX TUBINGS LIMITED,,,India
528,CUMMINS INDIA LIMITED,,,India
529,CUPID LIMITED,,,India
530,CURA TECHNOLOGIES LIMITED,,,India
531,CYBER MEDIA (INDIA) LIMITED,,,India
532,CYBERTECH SYSTEMS AND SOFTWARE LIMITED,,,India
533,CYIENT LIMITED,,,India
534,CYIENT DLM LIMITED,,,India
535,DABUR INDIA LIMITED,,,India
536,DAI-ICHI KARKARIA LIMITED,,,India
537,DALMIA BHARAT LIMITED,,,India
538,DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED,,,India
539,DAM CAPITAL ADVISORS LIMITED,,,India
540,DAMODAR INDUSTRIES LIMITED,,,India
541,DANGEE DUMS LIMITED,,,India
